t,x,y,yaw,state,front,back,left,right
268.81,2.944677139517065,-11.998743115245942,1.496078981616819,EXPLORE,2.914872646331787,1.1192325353622437,2.195746660232544,1.2438580989837646
268.84,2.94467760919075,-11.99874410131865,1.499311875276292,EXPLORE,2.9521968364715576,1.1191647052764893,2.184049129486084,1.2483550310134888
268.87,2.9446786573701886,-11.99874413653312,1.5024049054143946,EXPLORE,2.9521968364715576,1.1191647052764893,2.184049129486084,1.2483550310134888
268.91,2.9446796195729785,-11.998744776690867,1.5063504846538436,EXPLORE,2.98724102973938,1.11905038356781,2.173617362976074,1.2525523900985718
268.94,2.9446800486944826,-11.998745683727549,1.509181616188877,EXPLORE,2.98724102973938,1.11905038356781,2.173617362976074,1.2525523900985718
268.97,2.9446809914080796,-11.998745679633219,1.5118494038153605,EXPLORE,5.6204094886779785,1.1189848184585571,2.164273500442505,1.256471872329712
269.01,2.9446818598869005,-11.998746245462451,1.5152501710572874,EXPLORE,5.6204094886779785,1.1189848184585571,2.164273500442505,1.256471872329712
269.04,2.944682250389416,-11.998747080244707,1.5176902988507608,EXPLORE,6.185269355773926,1.1189322471618652,2.155993938446045,1.2600759267807007
269.07,2.944683096537246,-11.998747043381728,1.519989637592323,EXPLORE,6.185269355773926,1.1189322471618652,2.155993938446045,1.2600759267807007
269.11,2.9446838785055514,-11.998747543297652,1.5229207237253153,EXPLORE,6.180273056030273,1.1188808679580688,2.1486189365386963,1.2633988857269287
269.14,2.944684232621329,-11.998748312042565,1.5250238446713138,EXPLORE,6.180273056030273,1.1188808679580688,2.1486189365386963,1.2633988857269287
269.17,2.945192795593057,-11.99582342197951,1.5268930335866233,EXPLORE,5.618748664855957,1.1193865537643433,2.142812728881836,1.2670081853866577
269.21,2.9464324358841116,-11.980871070042706,1.5287921745178812,EXPLORE,5.618748664855957,1.1193865537643433,2.142812728881836,1.2670081853866577
269.24,2.9475510405829377,-11.960904209884697,1.530095508864387,EXPLORE,5.605040550231934,1.1503716707229614,2.177072286605835,1.3044493198394775
269.27,2.9487768919306747,-11.935435729395751,1.5314446969345146,EXPLORE,5.605040550231934,1.1503716707229614,2.177072286605835,1.3044493198394775
269.31,2.950085972306177,-11.90082467921853,1.5331876768271002,EXPLORE,5.580442905426025,1.2005107402801514,2.2346994876861572,1.3633745908737183
269.34,2.9510393522727303,-11.87480483175278,1.534436696788303,EXPLORE,5.580442905426025,1.2005107402801514,2.2346994876861572,1.3633745908737183
269.37,2.9519459668173864,-11.848786920748463,1.5356385870185096,EXPLORE,6.057731628417969,1.2625415325164795,2.3028502464294434,1.4360238313674927
269.41,2.953120524961717,-11.81402040434682,1.5371866874473274,EXPLORE,6.057731628417969,1.2625415325164795,2.3028502464294434,1.4360238313674927
269.44,2.953985827084353,-11.787820450703558,1.5378677190715921,EXPLORE,5.4153032302856445,1.339073896408081,2.3869524002075195,1.5253174304962158
269.47,2.9548141760925706,-11.761583288737427,1.5389347089821255,EXPLORE,5.4153032302856445,1.339073896408081,2.3869524002075195,1.5253174304962158
269.51,2.9558874639081147,-11.726531618677386,1.5403278260624698,EXPLORE,5.3501410484313965,1.4125018119812012,2.471102714538574,1.6106867790222168
269.54,2.956661527594691,-11.700265100683582,1.5413246233093103,EXPLORE,5.3501410484313965,1.4125018119812012,2.471102714538574,1.6106867790222168
269.57,2.957402185905704,-11.674048653898575,1.5422859966249982,EXPLORE,5.840096950531006,1.4661399126052856,2.5308327674865723,1.6739277839660645
269.61,2.958368425327755,-11.63902902923491,1.5433268157262108,EXPLORE,5.840096950531006,1.4661399126052856,2.5308327674865723,1.6739277839660645
269.64,2.959072802908851,-11.612718736464004,1.5442218248830175,EXPLORE,5.254464626312256,1.5138863325119019,2.5841915607452393,1.73023521900177
269.67,2.9597447988161765,-11.586408557735503,1.5450074920502508,EXPLORE,5.254464626312256,1.5138863325119019,2.5841915607452393,1.73023521900177
269.71,2.960618116139025,-11.551274590547369,1.5460304162830585,EXPLORE,5.197910785675049,1.575548768043518,2.6539058685302734,2.566131830215454
269.74,2.9612556073303837,-11.52488506746839,1.5467763177801541,EXPLORE,5.197910785675049,1.575548768043518,2.6539058685302734,2.566131830215454
269.77,3.1118637144383228,-11.60851367026084,1.547483434270632,EXPLORE,5.665690898895264,1.6327357292175293,2.7184832096099854,2.5973119735717773
269.81,3.112653306803421,-11.573310085222777,1.5483953572484834,EXPLORE,5.09364652633667,1.6907795667648315,2.7840378284454346,2.6244208812713623
269.84,3.113219252482662,-11.546939583501025,1.5496177539565807,EXPLORE,5.09364652633667,1.6907795667648315,2.7840378284454346,2.6244208812713623
269.87,3.113743013599903,-11.520695027274172,1.5506817777983994,EXPLORE,5.550875663757324,1.7482218742370605,2.8035902976989746,2.6606194972991943
269.909,3.1144042498401583,-11.486583860357419,1.552015481084095,EXPLORE,5.550875663757324,1.7482218742370605,2.8035902976989746,2.6606194972991943
269.94,3.1148884929161698,-11.459399344936202,1.553043181943241,EXPLORE,5.497524261474609,1.8057934045791626,2.6591994762420654,2.6883957386016846
269.97,3.115331030166762,-11.433181941724445,1.5540446274448527,EXPLORE,5.497524261474609,1.8057934045791626,2.6591994762420654,2.6883957386016846
270.01,3.115331030166762,-11.433181941724445,1.5540446274448527,EXPLORE,5.43691873550415,1.8635557889938354,2.512441635131836,2.7198896408081055
270.04,3.115331030166762,-11.433181941724445,1.5540446274448527,EXPLORE,5.383365154266357,1.9213660955429077,2.3632590770721436,2.544816017150879
270.07,3.1158741141162887,-11.398255565011562,1.5553775624449462,EXPLORE,5.322569370269775,1.9791587591171265,2.213714122772217,2.353562355041504
270.11,3.1158741141162887,-11.398255565011562,1.5553775624449462,EXPLORE,5.322569370269775,1.9791587591171265,2.213714122772217,2.353562355041504
270.14,3.1162719865494566,-11.372085080052493,1.5563321872182472,EXPLORE,5.322569370269775,1.9791587591171265,2.213714122772217,2.353562355041504
270.17,3.1162719865494566,-11.372085080052493,1.5563321872182472,EXPLORE,5.276027202606201,2.0369808673858643,2.0621695518493652,2.1648905277252197
270.21,3.1162719865494566,-11.372085080052493,1.5563321872182472,EXPLORE,5.276027202606201,2.0369808673858643,2.0621695518493652,2.1648905277252197
270.24,3.1162719865494566,-11.372085080052493,1.5563321872182472,EXPLORE,5.215076446533203,2.0948855876922607,1.9077662229537964,1.979191541671753
270.27,3.1166300997337126,-11.345835259733402,1.55726226474077,EXPLORE,5.215076446533203,2.0948855876922607,1.9077662229537964,1.979191541671753
270.31,3.1166300997337126,-11.345835259733402,1.55726226474077,EXPLORE,5.215076446533203,2.0948855876922607,1.9077662229537964,1.979191541671753
270.34,3.1170718974998826,-11.31080108914861,1.5586796227023865,EXPLORE,5.154219627380371,2.1528072357177734,1.7512530088424683,1.845831036567688
270.37,3.1187937960525347,-11.092822871545994,1.5671879359903753,EXPLORE,5.154219627380371,2.1528072357177734,1.7512530088424683,1.845831036567688
270.41,3.1188982695262197,-11.05767134892193,1.5682665142279077,EXPLORE,5.093624591827393,2.210806369781494,1.6878445148468018,1.6653647422790527
270.44,3.118960573126756,-11.031230946878617,1.568682110978974,EXPLORE,5.093624591827393,2.210806369781494,1.6878445148468018,1.6653647422790527
270.47,3.1190068138802967,-11.004722578727758,1.5691588629403292,EXPLORE,5.040070533752441,2.26936936378479,1.6695020198822021,1.4880133867263794
270.51,3.119050047912729,-10.96924981390438,1.569819524484602,EXPLORE,5.040070533752441,2.26936936378479,1.6695020198822021,1.4880133867263794
270.54,3.1190677273923275,-10.942591710019158,1.5703073693544198,EXPLORE,4.979435443878174,2.328016519546509,1.655163288116455,1.4642573595046997
270.57,3.1190691469382235,-10.915940761842375,1.5707205477873571,EXPLORE,4.979435443878174,2.328016519546509,1.655163288116455,1.4642573595046997
270.61,3.119057929195497,-10.880373361483148,1.5712224261535879,EXPLORE,4.925893783569336,2.386725664138794,1.642318606376648,1.44529390335083
270.64,3.1190399752890943,-10.853673178052832,1.5715817955666458,EXPLORE,4.925893783569336,2.386725664138794,1.642318606376648,1.44529390335083
270.67,3.1190089903759475,-10.82698142558009,1.5719300133444478,EXPLORE,4.865340709686279,2.4454801082611084,1.6259410381317139,1.4315235614776611
270.71,3.11895554407321,-10.79136415199884,1.5724142422075638,EXPLORE,4.865340709686279,2.4454801082611084,1.6259410381317139,1.4315235614776611
270.74,3.1189313940294667,-10.763966065832522,1.572767501183512,EXPLORE,4.804750442504883,2.504288911819458,1.6168341636657715,1.4174704551696777
270.77,3.1188667268328167,-10.736225758606238,1.5731039767773884,EXPLORE,4.804750442504883,2.504288911819458,1.6168341636657715,1.4174704551696777
270.81,3.114650573138886,-10.699260611006311,1.5735352258978246,EXPLORE,4.758215427398682,2.56314754486084,1.607651710510254,1.407592535018921
270.84,3.1145453323332597,-10.672145338209255,1.5738575199843698,EXPLORE,4.758215427398682,2.56314754486084,1.607651710510254,1.407592535018921
